Crop,Temperature,Humidity,Rainfall,Label_N,Label_P,Label_K
wheat,28,80,85,65,35,28
wheat,28,80,160,35,20,16
wheat,28,80,250,0,0,0
wheat,33,50,0,100,50,45
wheat,33,50,25,90,45,41
wheat,33,50,85,70,35,33
wheat,33,50,160,40,20,21
wheat,33,50,250,0,0,0
wheat,33,65,0,100,50,45
wheat,33,65,25,90,45,41
wheat,33,65,85,70,35,33
wheat,33,65,160,40,20,21
wheat,33,65,250,0,0,0
wheat,33,80,0,95,50,45
wheat,33,80,25,85,45,41
wheat,33,80,85,65,35,33
wheat,33,80,160,35,20,21
wheat,33,80,250,0,0,0
maize,18,50,0,100,50,40
maize,18,50,25,90,45,36
maize,18,50,85,70,35,28
maize,18,50,160,40,20,16
maize,18,50,250,0,0,0
maize,18,65,0,100,50,40
maize,18,65,25,90,45,36
maize,18,65,85,70,35,28
maize,18,65,160,40,20,16
maize,18,65,250,0,0,0
maize,18,80,0,95,50,40
maize,18,80,25,85,45,36
maize,18,80,85,65,35,28
maize,18,80,160,35,20,16
maize,18,80,250,0,0,0
maize,23,50,0,100,50,40
maize,23,50,25,90,45,36
maize,23,50,85,70,35,28
maize,23,50,160,40,20,16
maize,23,50,250,0,0,0
maize,23,65,0,100,50,40
maize,23,65,25,90,45,36
maize,23,65,85,70,35,28
maize,23,65,160,40,20,16
maize,23,65,250,0,0,0
maize,23,80,0,95,50,40
maize,23,80,25,85,45,36
maize,23,80,85,65,35,28
maize,23,80,160,35,20,16
maize,23,80,250,0,0,0
maize,28,50,0,100,50,40
maize,28,50,25,90,45,36
maize,28,50,85,70,35,28
maize,28,50,160,40,20,16
maize,28,50,250,0,0,0
maize,28,65,0,100,50,40
maize,28,65,25,90,45,36
maize,28,65,85,70,35,28
maize,28,65,160,40,20,16
maize,28,65,250,0,0,0
maize,28,80,0,95,50,40
maize,28,80,25,85,45,36
maize,28,80,85,65,35,28
maize,28,80,160,35,20,16
maize,28,80,250,0,0,0
maize,33,50,0,100,50,45
maize,33,50,25,90,45,41
maize,33,50,85,70,35,33
maize,33,50,160,40,20,21
maize,33,50,250,0,0,0
maize,33,65,0,100,50,45
maize,33,65,25,90,45,41
maize,33,65,85,70,35,33
maize,33,65,160,40,20,21
maize,33,65,250,0,0,0
maize,33,80,0,95,50,45
maize,33,80,25,85,45,41
maize,33,80,85,65,35,33
maize,33,80,160,35,20,21
maize,33,80,250,0,0,0
barley,18,50,0,100,50,40
barley,18,50,25,90,45,36
barley,18,50,85,70,35,28
barley,18,50,160,40,20,16
barley,18,50,250,0,0,0
barley,18,65,0,100,50,40
barley,18,65,25,90,45,36
barley,18,65,85,70,35,28
barley,18,65,160,40,20,16
barley,18,65,250,0,0,0
barley,18,80,0,95,50,40
barley,18,80,25,85,45,36
barley,18,80,85,65,35,28
barley,18,80,160,35,20,16
barley,18,80,250,0,0,0
barley,23,50,0,100,50,40
barley,23,50,25,90,45,36
barley,23,50,85,70,35,28
barley,23,50,160,40,20,16
barley,23,50,250,0,0,0
barley,23,65,0,100,50,40
barley,23,65,25,90,45,36
barley,23,65,85,70,35,28
barley,23,65,160,40,20,16
barley,23,65,250,0,0,0
barley,23,80,0,95,50,40
barley,23,80,25,85,45,36
barley,23,80,85,65,35,28
barley,23,80,160,35,20,16
barley,23,80,250,0,0,0
barley,28,50,0,100,50,40
barley,28,50,25,90,45,36
barley,28,50,85,70,35,28
barley,28,50,160,40,20,16
barley,28,50,250,0,0,0
barley,28,65,0,100,50,40
barley,28,65,25,90,45,36
barley,28,65,85,70,35,28
barley,28,65,160,40,20,16
barley,28,65,250,0,0,0
barley,28,80,0,95,50,40
barley,28,80,25,85,45,36
barley,28,80,85,65,35,28
barley,28,80,160,35,20,16
barley,28,80,250,0,0,0
barley,33,50,0,100,50,45
barley,33,50,25,90,45,41
barley,33,50,85,70,35,33
barley,33,50,160,40,20,21
barley,33,50,250,0,0,0
barley,33,65,0,100,50,45
barley,33,65,25,90,45,41
barley,33,65,85,70,35,33
barley,33,65,160,40,20,21
barley,33,65,250,0,0,0
barley,33,80,0,95,50,45
barley,33,80,25,85,45,41
barley,33,80,85,65,35,33
barley,33,80,160,35,20,21
barley,33,80,250,0,0,0
jowar,18,50,0,100,50,40
jowar,18,50,25,90,45,36
jowar,18,50,85,70,35,28
jowar,18,50,160,40,20,16
jowar,18,50,250,0,0,0
jowar,18,65,0,100,50,40
jowar,18,65,25,90,45,36
jowar,18,65,85,70,35,28
jowar,18,65,160,40,20,16
jowar,18,65,250,0,0,0
jowar,18,80,0,95,50,40
jowar,18,80,25,85,45,36
jowar,18,80,85,65,35,28
jowar,18,80,160,35,20,16
jowar,18,80,250,0,0,0
jowar,23,50,0,100,50,40
jowar,23,50,25,90,45,36
jowar,23,50,85,70,35,28
jowar,23,50,160,40,20,16
jowar,23,50,250,0,0,0
jowar,23,65,0,100,50,40
jowar,23,65,25,90,45,36
jowar,23,65,85,70,35,28
jowar,23,65,160,40,20,16
jowar,23,65,250,0,0,0
jowar,23,80,0,95,50,40
jowar,23,80,25,85,45,36
jowar,23,80,85,65,35,28
jowar,23,80,160,35,20,16
jowar,23,80,250,0,0,0
jowar,28,50,0,100,50,40
jowar,28,50,25,90,45,36
jowar,28,50,85,70,35,28
jowar,28,50,160,40,20,16
jowar,28,50,250,0,0,0
jowar,28,65,0,100,50,40
jowar,28,65,25,90,45,36
jowar,28,65,85,70,35,28
jowar,28,65,160,40,20,16
jowar,28,65,250,0,0,0
jowar,28,80,0,95,50,40
jowar,28,80,25,85,45,36
jowar,28,80,85,65,35,28
jowar,28,80,160,35,20,16
jowar,28,80,250,0,0,0
jowar,33,50,0,100,50,45
jowar,33,50,25,90,45,41
jowar,33,50,85,70,35,33
jowar,33,50,160,40,20,21
jowar,33,50,250,0,0,0
jowar,33,65,0,100,50,45
jowar,33,65,25,90,45,41
jowar,33,65,85,70,35,33
jowar,33,65,160,40,20,21
jowar,33,65,250,0,0,0
jowar,33,80,0,95,50,45
jowar,33,80,25,85,45,41
jowar,33,80,85,65,35,33
jowar,33,80,160,35,20,21
jowar,33,80,250,0,0,0
bajra,18,50,0,100,50,40
bajra,18,50,25,90,45,36
bajra,18,50,85,70,35,28
bajra,18,50,160,40,20,16
bajra,18,50,250,0,0,0
bajra,18,65,0,100,50,40
bajra,18,65,25,90,45,36
bajra,18,65,85,70,35,28
bajra,18,65,160,40,20,16
bajra,18,65,250,0,0,0
bajra,18,80,0,95,50,40
bajra,18,80,25,85,45,36
bajra,18,80,85,65,35,28
bajra,18,80,160,35,20,16
bajra,18,80,250,0,0,0
bajra,23,50,0,100,50,40
bajra,23,50,25,90,45,36
bajra,23,50,85,70,35,28
bajra,23,50,160,40,20,16
bajra,23,50,250,0,0,0
bajra,23,65,0,100,50,40
bajra,23,65,25,90,45,36
bajra,23,65,85,70,35,28
bajra,23,65,160,40,20,16
bajra,23,65,250,0,0,0
bajra,23,80,0,95,50,40
bajra,23,80,25,85,45,36
bajra,23,80,85,65,35,28
bajra,23,80,160,35,20,16
bajra,23,80,250,0,0,0
bajra,28,50,0,100,50,40
bajra,28,50,25,90,45,36
bajra,28,50,85,70,35,28
bajra,28,50,160,40,20,16
bajra,28,50,250,0,0,0
bajra,28,65,0,100,50,40
bajra,28,65,25,90,45,36
bajra,28,65,85,70,35,28
bajra,28,65,160,40,20,16
bajra,28,65,250,0,0,0
bajra,28,80,0,95,50,40
bajra,28,80,25,85,45,36
bajra,28,80,85,65,35,28
bajra,28,80,160,35,20,16
bajra,28,80,250,0,0,0
bajra,33,50,0,100,50,45
bajra,33,50,25,90,45,41
bajra,33,50,85,70,35,33
bajra,33,50,160,40,20,21
bajra,33,50,250,0,0,0
bajra,33,65,0,100,50,45
bajra,33,65,25,90,45,41
bajra,33,65,85,70,35,33
bajra,33,65,160,40,20,21
bajra,33,65,250,0,0,0
bajra,33,80,0,95,50,45
bajra,33,80,25,85,45,41
bajra,33,80,85,65,35,33
bajra,33,80,160,35,20,21
bajra,33,80,250,0,0,0
ragi,18,50,0,100,50,40
ragi,18,50,25,90,45,36
ragi,18,50,85,70,35,28
ragi,18,50,160,40,20,16
ragi,18,50,250,0,0,0
ragi,18,65,0,100,50,40
ragi,18,65,25,90,45,36
ragi,18,65,85,70,35,28
ragi,18,65,160,40,20,16
ragi,18,65,250,0,0,0
ragi,18,80,0,95,50,40
ragi,18,80,25,85,45,36
ragi,18,80,85,65,35,28
ragi,18,80,160,35,20,16
ragi,18,80,250,0,0,0
ragi,23,50,0,100,50,40
ragi,23,50,25,90,45,36
ragi,23,50,85,70,35,28
ragi,23,50,160,40,20,16
ragi,23,50,250,0,0,0
ragi,23,65,0,100,50,40
ragi,23,65,25,90,45,36
ragi,23,65,85,70,35,28
ragi,23,65,160,40,20,16
ragi,23,65,250,0,0,0
ragi,23,80,0,95,50,40
ragi,23,80,25,85,45,36
ragi,23,80,85,65,35,28
ragi,23,80,160,35,20,16
ragi,23,80,250,0,0,0
ragi,28,50,0,100,50,40
ragi,28,50,25,90,45,36
ragi,28,50,85,70,35,28
ragi,28,50,160,40,20,16
ragi,28,50,250,0,0,0
ragi,28,65,0,100,50,40
ragi,28,65,25,90,45,36
ragi,28,65,85,70,35,28
ragi,28,65,160,40,20,16
ragi,28,65,250,0,0,0
ragi,28,80,0,95,50,40
ragi,28,80,25,85,45,36
ragi,28,80,85,65,35,28
ragi,28,80,160,35,20,16
ragi,28,80,250,0,0,0
ragi,33,50,0,100,50,45
ragi,33,50,25,90,45,41
ragi,33,50,85,70,35,33
ragi,33,50,160,40,20,21
ragi,33,50,250,0,0,0
ragi,33,65,0,100,50,45
ragi,33,65,25,90,45,41
ragi,33,65,85,70,35,33
ragi,33,65,160,40,20,21
ragi,33,65,250,0,0,0
ragi,33,80,0,95,50,45
ragi,33,80,25,85,45,41
ragi,33,80,85,65,35,33
ragi,33,80,160,35,20,21
ragi,33,80,250,0,0,0
chickpea,18,50,0,100,50,40
chickpea,18,50,25,90,45,36
chickpea,18,50,85,70,35,28
chickpea,18,50,160,40,20,16
chickpea,18,50,250,0,0,0
chickpea,18,65,0,100,50,40
chickpea,18,65,25,90,45,36
chickpea,18,65,85,70,35,28
chickpea,18,65,160,40,20,16
chickpea,18,65,250,0,0,0
chickpea,18,80,0,95,50,40
chickpea,18,80,25,85,45,36
chickpea,18,80,85,65,35,28
chickpea,18,80,160,35,20,16
chickpea,18,80,250,0,0,0
chickpea,23,50,0,100,50,40
chickpea,23,50,25,90,45,36
chickpea,23,50,85,70,35,28
chickpea,23,50,160,40,20,16
chickpea,23,50,250,0,0,0
chickpea,23,65,0,100,50,40
chickpea,23,65,25,90,45,36
chickpea,23,65,85,70,35,28
chickpea,23,65,160,40,20,16
chickpea,23,65,250,0,0,0
chickpea,23,80,0,95,50,40
chickpea,23,80,25,85,45,36
chickpea,23,80,85,65,35,28
chickpea,23,80,160,35,20,16
chickpea,23,80,250,0,0,0
chickpea,28,50,0,100,50,40
chickpea,28,50,25,90,45,36
chickpea,28,50,85,70,35,28
chickpea,28,50,160,40,20,16
chickpea,28,50,250,0,0,0
chickpea,28,65,0,100,50,40
chickpea,28,65,25,90,45,36
chickpea,28,65,85,70,35,28
chickpea,28,65,160,40,20,16
chickpea,28,65,250,0,0,0
chickpea,28,80,0,95,50,40
chickpea,28,80,25,85,45,36
chickpea,28,80,85,65,35,28
chickpea,28,80,160,35,20,16
chickpea,28,80,250,0,0,0
chickpea,33,50,0,100,50,45
chickpea,33,50,25,90,45,41
chickpea,33,50,85,70,35,33
chickpea,33,50,160,40,20,21
chickpea,33,50,250,0,0,0
chickpea,33,65,0,100,50,45
chickpea,33,65,25,90,45,41
chickpea,33,65,85,70,35,33
chickpea,33,65,160,40,20,21
chickpea,33,65,250,0,0,0
chickpea,33,80,0,95,50,45
chickpea,33,80,25,85,45,41
chickpea,33,80,85,65,35,33
chickpea,33,80,160,35,20,21
chickpea,33,80,250,0,0,0
pigeon pea,18,50,0,100,50,40
pigeon pea,18,50,25,90,45,36
pigeon pea,18,50,85,70,35,28
pigeon pea,18,50,160,40,20,16
pigeon pea,18,50,250,0,0,0
pigeon pea,18,65,0,100,50,40
pigeon pea,18,65,25,90,45,36
pigeon pea,18,65,85,70,35,28
pigeon pea,18,65,160,40,20,16
pigeon pea,18,65,250,0,0,0
pigeon pea,18,80,0,95,50,40
pigeon pea,18,80,25,85,45,36
pigeon pea,18,80,85,65,35,28
pigeon pea,18,80,160,35,20,16
pigeon pea,18,80,250,0,0,0
pigeon pea,23,50,0,100,50,40
pigeon pea,23,50,25,90,45,36
pigeon pea,23,50,85,70,35,28
pigeon pea,23,50,160,40,20,16
pigeon pea,23,50,250,0,0,0
pigeon pea,23,65,0,100,50,40
pigeon pea,23,65,25,90,45,36
pigeon pea,23,65,85,70,35,28
pigeon pea,23,65,160,40,20,16
pigeon pea,23,65,250,0,0,0
pigeon pea,23,80,0,95,50,40
pigeon pea,23,80,25,85,45,36
pigeon pea,23,80,85,65,35,28
pigeon pea,23,80,160,35,20,16
pigeon pea,23,80,250,0,0,0
pigeon pea,28,50,0,100,50,40
pigeon pea,28,50,25,90,45,36
pigeon pea,28,50,85,70,35,28
pigeon pea,28,50,160,40,20,16
pigeon pea,28,50,250,0,0,0
pigeon pea,28,65,0,100,50,40
pigeon pea,28,65,25,90,45,36
pigeon pea,28,65,85,70,35,28
pigeon pea,28,65,160,40,20,16
pigeon pea,28,65,250,0,0,0
pigeon pea,28,80,0,95,50,40
pigeon pea,28,80,25,85,45,36
pigeon pea,28,80,85,65,35,28
pigeon pea,28,80,160,35,20,16
pigeon pea,28,80,250,0,0,0
pigeon pea,33,50,0,100,50,45
pigeon pea,33,50,25,90,45,41
pigeon pea,33,50,85,70,35,33
pigeon pea,33,50,160,40,20,21
pigeon pea,33,50,250,0,0,0
pigeon pea,33,65,0,100,50,45
pigeon pea,33,65,25,90,45,41
pigeon pea,33,65,85,70,35,33
pigeon pea,33,65,160,40,20,21
pigeon pea,33,65,250,0,0,0
pigeon pea,33,80,0,95,50,45
pigeon pea,33,80,25,85,45,41
pigeon pea,33,80,85,65,35,33
pigeon pea,33,80,160,35,20,21
pigeon pea,33,80,250,0,0,0
green gram,18,50,0,100,50,40
green gram,18,50,25,90,45,36
green gram,18,50,85,70,35,28
green gram,18,50,160,40,20,16
green gram,18,50,250,0,0,0
green gram,18,65,0,100,50,40
green gram,18,65,25,90,45,36
green gram,18,65,85,70,35,28
green gram,18,65,160,40,20,16
green gram,18,65,250,0,0,0
green gram,18,80,0,95,50,40
green gram,18,80,25,85,45,36
green gram,18,80,85,65,35,28
green gram,18,80,160,35,20,16
green gram,18,80,250,0,0,0
green gram,23,50,0,100,50,40
green gram,23,50,25,90,45,36
green gram,23,50,85,70,35,28
green gram,23,50,160,40,20,16
green gram,23,50,250,0,0,0
green gram,23,65,0,100,50,40
green gram,23,65,25,90,45,36
green gram,23,65,85,70,35,28
green gram,23,65,160,40,20,16
green gram,23,65,250,0,0,0
green gram,23,80,0,95,50,40
green gram,23,80,25,85,45,36
green gram,23,80,85,65,35,28
green gram,23,80,160,35,20,16
green gram,23,80,250,0,0,0
green gram,28,50,0,100,50,40
green gram,28,50,25,90,45,36
green gram,28,50,85,70,35,28
green gram,28,50,160,40,20,16
green gram,28,50,250,0,0,0
green gram,28,65,0,100,50,40
green gram,28,65,25,90,45,36
green gram,28,65,85,70,35,28
green gram,28,65,160,40,20,16
green gram,28,65,250,0,0,0
green gram,28,80,0,95,50,40
green gram,28,80,25,85,45,36
green gram,28,80,85,65,35,28
green gram,28,80,160,35,20,16
green gram,28,80,250,0,0,0
green gram,33,50,0,100,50,45
green gram,33,50,25,90,45,41
green gram,33,50,85,70,35,33
green gram,33,50,160,40,20,21
green gram,33,50,250,0,0,0
green gram,33,65,0,100,50,45
green gram,33,65,25,90,45,41
green gram,33,65,85,70,35,33
green gram,33,65,160,40,20,21
green gram,33,65,250,0,0,0
green gram,33,80,0,95,50,45
green gram,33,80,25,85,45,41
green gram,33,80,85,65,35,33
green gram,33,80,160,35,20,21
green gram,33,80,250,0,0,0
black gram,18,50,0,100,50,40
black gram,18,50,25,90,45,36
black gram,18,50,85,70,35,28
black gram,18,50,160,40,20,16
black gram,18,50,250,0,0,0
black gram,18,65,0,100,50,40
black gram,18,65,25,90,45,36
black gram,18,65,85,70,35,28
black gram,18,65,160,40,20,16
black gram,18,65,250,0,0,0
black gram,18,80,0,95,50,40
black gram,18,80,25,85,45,36
black gram,18,80,85,65,35,28
black gram,18,80,160,35,20,16
black gram,18,80,250,0,0,0
black gram,23,50,0,100,50,40
black gram,23,50,25,90,45,36
black gram,23,50,85,70,35,28
black gram,23,50,160,40,20,16
black gram,23,50,250,0,0,0
black gram,23,65,0,100,50,40
black gram,23,65,25,90,45,36
black gram,23,65,85,70,35,28
black gram,23,65,160,40,20,16
black gram,23,65,250,0,0,0
black gram,23,80,0,95,50,40
black gram,23,80,25,85,45,36
black gram,23,80,85,65,35,28
black gram,23,80,160,35,20,16
black gram,23,80,250,0,0,0
black gram,28,50,0,100,50,40
black gram,28,50,25,90,45,36
black gram,28,50,85,70,35,28
black gram,28,50,160,40,20,16
black gram,28,50,250,0,0,0
black gram,28,65,0,100,50,40
black gram,28,65,25,90,45,36
black gram,28,65,85,70,35,28
black gram,28,65,160,40,20,16
black gram,28,65,250,0,0,0
black gram,28,80,0,95,50,40
black gram,28,80,25,85,45,36
black gram,28,80,85,65,35,28
black gram,28,80,160,35,20,16
black gram,28,80,250,0,0,0
black gram,33,50,0,100,50,45
black gram,33,50,25,90,45,41
black gram,33,50,85,70,35,33
black gram,33,50,160,40,20,21
black gram,33,50,250,0,0,0
black gram,33,65,0,100,50,45
black gram,33,65,25,90,45,41
black gram,33,65,85,70,35,33
black gram,33,65,160,40,20,21
black gram,33,65,250,0,0,0
black gram,33,80,0,95,50,45
black gram,33,80,25,85,45,41
black gram,33,80,85,65,35,33
black gram,33,80,160,35,20,21
black gram,33,80,250,0,0,0
lentil,18,50,0,100,50,40
lentil,18,50,25,90,45,36
lentil,18,50,85,70,35,28
lentil,18,50,160,40,20,16
lentil,18,50,250,0,0,0
lentil,18,65,0,100,50,40
lentil,18,65,25,90,45,36
lentil,18,65,85,70,35,28
lentil,18,65,160,40,20,16
lentil,18,65,250,0,0,0
lentil,18,80,0,95,50,40
lentil,18,80,25,85,45,36
lentil,18,80,85,65,35,28
lentil,18,80,160,35,20,16
lentil,18,80,250,0,0,0
lentil,23,50,0,100,50,40
lentil,23,50,25,90,45,36
lentil,23,50,85,70,35,28
lentil,23,50,160,40,20,16
lentil,23,50,250,0,0,0
lentil,23,65,0,100,50,40
lentil,23,65,25,90,45,36
lentil,23,65,85,70,35,28
lentil,23,65,160,40,20,16
lentil,23,65,250,0,0,0
lentil,23,80,0,95,50,40
lentil,23,80,25,85,45,36
lentil,23,80,85,65,35,28
lentil,23,80,160,35,20,16
lentil,23,80,250,0,0,0
lentil,28,50,0,100,50,40
lentil,28,50,25,90,45,36
lentil,28,50,85,70,35,28
lentil,28,50,160,40,20,16
lentil,28,50,250,0,0,0
lentil,28,65,0,100,50,40
lentil,28,65,25,90,45,36
lentil,28,65,85,70,35,28
lentil,28,65,160,40,20,16
lentil,28,65,250,0,0,0
lentil,28,80,0,95,50,40
lentil,28,80,25,85,45,36
lentil,28,80,85,65,35,28
lentil,28,80,160,35,20,16
lentil,28,80,250,0,0,0
lentil,33,50,0,100,50,45
lentil,33,50,25,90,45,41
lentil,33,50,85,70,35,33
lentil,33,50,160,40,20,21
lentil,33,50,250,0,0,0
lentil,33,65,0,100,50,45
lentil,33,65,25,90,45,41
lentil,33,65,85,70,35,33
lentil,33,65,160,40,20,21
lentil,33,65,250,0,0,0
lentil,33,80,0,95,50,45
lentil,33,80,25,85,45,41
lentil,33,80,85,65,35,33
lentil,33,80,160,35,20,21
lentil,33,80,250,0,0,0
peas,18,50,0,100,50,40
peas,18,50,25,90,45,36
peas,18,50,85,70,35,28
peas,18,50,160,40,20,16
peas,18,50,250,0,0,0
peas,18,65,0,100,50,40
peas,18,65,25,90,45,36
peas,18,65,85,70,35,28
peas,18,65,160,40,20,16
peas,18,65,250,0,0,0
peas,18,80,0,95,50,40
peas,18,80,25,85,45,36
peas,18,80,85,65,35,28
peas,18,80,160,35,20,16
peas,18,80,250,0,0,0
peas,23,50,0,100,50,40
peas,23,50,25,90,45,36
peas,23,50,85,70,35,28
peas,23,50,160,40,20,16
peas,23,50,250,0,0,0
peas,23,65,0,100,50,40
peas,23,65,25,90,45,36
peas,23,65,85,70,35,28
peas,23,65,160,40,20,16
peas,23,65,250,0,0,0
peas,23,80,0,95,50,40
peas,23,80,25,85,45,36
peas,23,80,85,65,35,28
peas,23,80,160,35,20,16
peas,23,80,250,0,0,0
peas,28,50,0,100,50,40
peas,28,50,25,90,45,36
peas,28,50,85,70,35,28
peas,28,50,160,40,20,16
peas,28,50,250,0,0,0
peas,28,65,0,100,50,40
peas,28,65,25,90,45,36
peas,28,65,85,70,35,28
peas,28,65,160,40,20,16
peas,28,65,250,0,0,0
peas,28,80,0,95,50,40
peas,28,80,25,85,45,36
peas,28,80,85,65,35,28
peas,28,80,160,35,20,16
peas,28,80,250,0,0,0
peas,33,50,0,100,50,45
peas,33,50,25,90,45,41
peas,33,50,85,70,35,33
peas,33,50,160,40,20,21
peas,33,50,250,0,0,0
peas,33,65,0,100,50,45
peas,33,65,25,90,45,41
peas,33,65,85,70,35,33
peas,33,65,160,40,20,21
peas,33,65,250,0,0,0
peas,33,80,0,95,50,45
peas,33,80,25,85,45,41
peas,33,80,85,65,35,33
peas,33,80,160,35,20,21
peas,33,80,250,0,0,0
cowpea,18,50,0,100,50,40
cowpea,18,50,25,90,45,36
cowpea,18,50,85,70,35,28
cowpea,18,50,160,40,20,16
cowpea,18,50,250,0,0,0
cowpea,18,65,0,100,50,40
cowpea,18,65,25,90,45,36
cowpea,18,65,85,70,35,28
cowpea,18,65,160,40,20,16
cowpea,18,65,250,0,0,0
cowpea,18,80,0,95,50,40
cowpea,18,80,25,85,45,36
cowpea,18,80,85,65,35,28
cowpea,18,80,160,35,20,16
cowpea,18,80,250,0,0,0
cowpea,23,50,0,100,50,40
cowpea,23,50,25,90,45,36
cowpea,23,50,85,70,35,28
cowpea,23,50,160,40,20,16
cowpea,23,50,250,0,0,0
cowpea,23,65,0,100,50,40
cowpea,23,65,25,90,45,36
cowpea,23,65,85,70,35,28
cowpea,23,65,160,40,20,16
cowpea,23,65,250,0,0,0
cowpea,23,80,0,95,50,40
cowpea,23,80,25,85,45,36
cowpea,23,80,85,65,35,28
cowpea,23,80,160,35,20,16
cowpea,23,80,250,0,0,0
cowpea,28,50,0,100,50,40
cowpea,28,50,25,90,45,36
cowpea,28,50,85,70,35,28
cowpea,28,50,160,40,20,16
cowpea,28,50,250,0,0,0
cowpea,28,65,0,100,50,40
cowpea,28,65,25,90,45,36
cowpea,28,65,85,70,35,28
cowpea,28,65,160,40,20,16
cowpea,28,65,250,0,0,0
cowpea,28,80,0,95,50,40
cowpea,28,80,25,85,45,36
cowpea,28,80,85,65,35,28
cowpea,28,80,160,35,20,16
cowpea,28,80,250,0,0,0
cowpea,33,50,0,100,50,45
cowpea,33,50,25,90,45,41
cowpea,33,50,85,70,35,33
cowpea,33,50,160,40,20,21
cowpea,33,50,250,0,0,0
cowpea,33,65,0,100,50,45
cowpea,33,65,25,90,45,41
cowpea,33,65,85,70,35,33
cowpea,33,65,160,40,20,21
cowpea,33,65,250,0,0,0
cowpea,33,80,0,95,50,45
cowpea,33,80,25,85,45,41
cowpea,33,80,85,65,35,33
cowpea,33,80,160,35,20,21
cowpea,33,80,250,0,0,0
groundnut,18,50,0,100,50,40
groundnut,18,50,25,90,45,36
groundnut,18,50,85,70,35,28
groundnut,18,50,160,40,20,16
groundnut,18,50,250,0,0,0
groundnut,18,65,0,100,50,40
groundnut,18,65,25,90,45,36
groundnut,18,65,85,70,35,28
groundnut,18,65,160,40,20,16
groundnut,18,65,250,0,0,0
groundnut,18,80,0,95,50,40
groundnut,18,80,25,85,45,36
groundnut,18,80,85,65,35,28
groundnut,18,80,160,35,20,16
groundnut,18,80,250,0,0,0
groundnut,23,50,0,100,50,40
groundnut,23,50,25,90,45,36
groundnut,23,50,85,70,35,28
groundnut,23,50,160,40,20,16
groundnut,23,50,250,0,0,0
groundnut,23,65,0,100,50,40
groundnut,23,65,25,90,45,36
groundnut,23,65,85,70,35,28
groundnut,23,65,160,40,20,16
groundnut,23,65,250,0,0,0
